key,provinciaId,distritoId,corregimientoId,codigo,nombre_corregimiento,cabecera
1286965,12,6,6,6,El Paredón,0
1286996,12,6,7,7,El Piro,0
1287027,12,6,8,8,Guayabito,0
1287058,12,6,9,9,Guibale,0
1287089,12,6,10,10,El Piro N° 2,0
1287120,12,6,11,11,El Peñon,0
1287771,12,7,1,1,Buri,0
1287802,12,7,2,2,Gwaribiara,0
1287833,12,7,3,3,Tu Gwai,0
1287864,12,7,4,4,Mancreek,0
1287895,12,7,5,5,Samboa,0
1288732,12,8,1,1,Santa Catalina O Calovébora,0
1288763,12,8,2,2,Valle Bonito (Dogata),0
1288794,12,8,3,3,Loma Yuca,0
1288825,12,8,4,4,San Pedrito (Jikui),0
1288856,12,8,5,5,Alto Bilingue (Gdogueshia),0
1340626,14,0,1,1,Kuna De Madungandi,0
1370417,15,0,1,1,Kuna De Wargandi,0
1401169,16,1,1,1,San San Drui,0
1401200,16,1,2,2,Bonyik,0
1401231,16,1,3,3,Teribe,0
1818243,30,1,1,30,Voto Adelantado En El Extranjero,0
1848034,31,1,1,31,Voto Adelantado En El País,0
